PRODUCT_SKU,PRODUCT_TITLE,BRAND,IMAGES,variant_facet_value,Retailing,Price,Type
I1-04-02, Pet Dog Classic Knitwear Sweater Warm Winter Puppy Pet Coat Soft Sweater Clothing for Small Dogs,Generic,https://ae01.alicdn.com/kf/S276527f98cb5475697d758465a0dcab8z.jpg | https://ae01.alicdn.com/kf/Hbce68af2d00549f1abc9aba7c731b46fG.jpg | https://ae01.alicdn.com/kf/Ha47e7cb641ab4377bc9eed8c9ac9b60al.jpg | https://ae01.alicdn.com/kf/S00f9f6cb8205429dbffc1c30cf315841j.jpg | https://ae01.alicdn.com/kf/Hdb6dfdef757f47a29ea311b96deb474fX.jpg,Brown (S),20.99,5.0,Pet Products
I1-04-05, Pet Dog Classic Knitwear Sweater Warm Winter Puppy Pet Coat Soft Sweater Clothing for Small Dogs,Generic,https://ae01.alicdn.com/kf/S276527f98cb5475697d758465a0dcab8z.jpg | https://ae01.alicdn.com/kf/Hbce68af2d00549f1abc9aba7c731b46fG.jpg | https://ae01.alicdn.com/kf/Ha47e7cb641ab4377bc9eed8c9ac9b60al.jpg | https://ae01.alicdn.com/kf/S00f9f6cb8205429dbffc1c30cf315841j.jpg | https://ae01.alicdn.com/kf/Hdb6dfdef757f47a29ea311b96deb474fX.jpg,Army blue (S),20.99,5.0,Pet Products
H2-02-07, Pet Dog Classic Knitwear Sweater Warm Winter Puppy Pet Coat Soft Sweater Clothing for Small Dogs,Generic,https://ae01.alicdn.com/kf/S276527f98cb5475697d758465a0dcab8z.jpg | https://ae01.alicdn.com/kf/Hbce68af2d00549f1abc9aba7c731b46fG.jpg | https://ae01.alicdn.com/kf/Ha47e7cb641ab4377bc9eed8c9ac9b60al.jpg | https://ae01.alicdn.com/kf/S00f9f6cb8205429dbffc1c30cf315841j.jpg | https://ae01.alicdn.com/kf/Hdb6dfdef757f47a29ea311b96deb474fX.jpg,Purple (S),20.99,5.0,Pet Products
I1-06-07, Pet Dog Classic Knitwear Sweater Warm Winter Puppy Pet Coat Soft Sweater Clothing for Small Dogs,Generic,https://ae01.alicdn.com/kf/S276527f98cb5475697d758465a0dcab8z.jpg | https://ae01.alicdn.com/kf/Hbce68af2d00549f1abc9aba7c731b46fG.jpg | https://ae01.alicdn.com/kf/Ha47e7cb641ab4377bc9eed8c9ac9b60al.jpg | https://ae01.alicdn.com/kf/S00f9f6cb8205429dbffc1c30cf315841j.jpg | https://ae01.alicdn.com/kf/Hdb6dfdef757f47a29ea311b96deb474fX.jpg,Gold (S),20.99,5.0,Pet Products
I1-06-01, Pet Dog Classic Knitwear Sweater Warm Winter Puppy Pet Coat Soft Sweater Clothing for Small Dogs,Generic,https://ae01.alicdn.com/kf/S276527f98cb5475697d758465a0dcab8z.jpg | https://ae01.alicdn.com/kf/Hbce68af2d00549f1abc9aba7c731b46fG.jpg | https://ae01.alicdn.com/kf/Ha47e7cb641ab4377bc9eed8c9ac9b60al.jpg | https://ae01.alicdn.com/kf/S00f9f6cb8205429dbffc1c30cf315841j.jpg | https://ae01.alicdn.com/kf/Hdb6dfdef757f47a29ea311b96deb474fX.jpg,Khaki (S),20.99,5.0,Pet Products
H1-01-07, Pet Dog Classic Knitwear Sweater Warm Winter Puppy Pet Coat Soft Sweater Clothing for Small Dogs,Generic,https://ae01.alicdn.com/kf/S276527f98cb5475697d758465a0dcab8z.jpg | https://ae01.alicdn.com/kf/Hbce68af2d00549f1abc9aba7c731b46fG.jpg | https://ae01.alicdn.com/kf/Ha47e7cb641ab4377bc9eed8c9ac9b60al.jpg | https://ae01.alicdn.com/kf/S00f9f6cb8205429dbffc1c30cf315841j.jpg | https://ae01.alicdn.com/kf/Hdb6dfdef757f47a29ea311b96deb474fX.jpg,Blue (M),20.99,5.0,Pet Products
H2-01-02, Pet Dog Classic Knitwear Sweater Warm Winter Puppy Pet Coat Soft Sweater Clothing for Small Dogs,Generic,https://ae01.alicdn.com/kf/S276527f98cb5475697d758465a0dcab8z.jpg | https://ae01.alicdn.com/kf/Hbce68af2d00549f1abc9aba7c731b46fG.jpg | https://ae01.alicdn.com/kf/Ha47e7cb641ab4377bc9eed8c9ac9b60al.jpg | https://ae01.alicdn.com/kf/S00f9f6cb8205429dbffc1c30cf315841j.jpg | https://ae01.alicdn.com/kf/Hdb6dfdef757f47a29ea311b96deb474fX.jpg,grey (M),20.99,5.0,Pet Products
H1-01-04, Pet Dog Classic Knitwear Sweater Warm Winter Puppy Pet Coat Soft Sweater Clothing for Small Dogs,Generic,https://ae01.alicdn.com/kf/S276527f98cb5475697d758465a0dcab8z.jpg | https://ae01.alicdn.com/kf/Hbce68af2d00549f1abc9aba7c731b46fG.jpg | https://ae01.alicdn.com/kf/Ha47e7cb641ab4377bc9eed8c9ac9b60al.jpg | https://ae01.alicdn.com/kf/S00f9f6cb8205429dbffc1c30cf315841j.jpg | https://ae01.alicdn.com/kf/Hdb6dfdef757f47a29ea311b96deb474fX.jpg,red (M),20.99,5.0,Pet Products
H2-01-05, Pet Dog Classic Knitwear Sweater Warm Winter Puppy Pet Coat Soft Sweater Clothing for Small Dogs,Generic,https://ae01.alicdn.com/kf/S276527f98cb5475697d758465a0dcab8z.jpg | https://ae01.alicdn.com/kf/Hbce68af2d00549f1abc9aba7c731b46fG.jpg | https://ae01.alicdn.com/kf/Ha47e7cb641ab4377bc9eed8c9ac9b60al.jpg | https://ae01.alicdn.com/kf/S00f9f6cb8205429dbffc1c30cf315841j.jpg | https://ae01.alicdn.com/kf/Hdb6dfdef757f47a29ea311b96deb474fX.jpg,Green (M),20.99,5.0,Pet Products
I1-03-03, Pet Dog Classic Knitwear Sweater Warm Winter Puppy Pet Coat Soft Sweater Clothing for Small Dogs,Generic,https://ae01.alicdn.com/kf/S276527f98cb5475697d758465a0dcab8z.jpg | https://ae01.alicdn.com/kf/Hbce68af2d00549f1abc9aba7c731b46fG.jpg | https://ae01.alicdn.com/kf/Ha47e7cb641ab4377bc9eed8c9ac9b60al.jpg | https://ae01.alicdn.com/kf/S00f9f6cb8205429dbffc1c30cf315841j.jpg | https://ae01.alicdn.com/kf/Hdb6dfdef757f47a29ea311b96deb474fX.jpg,Brown (M),20.99,5.0,Pet Products
