PRODUCT_SKU,PRODUCT_TITLE,BRAND,IMAGES,variant_facet_value,Retailing,Price,Type
C0-03-01,Stylus Pen For Touch Screen Tablet Capacitive Stylist Pen For Cell Phone lPad (Purple),Generic,https://i.ebayimg.com/images/g/xfEAAOSwi1JlC6Ia/s-l1600.jpg | https://i.ebayimg.com/images/g/fnYAAOSw1SNlEO0D/s-l1600.jpg | https://i.ebayimg.com/images/g/bZgAAOSwBEFlEO0C/s-l1600.jpg | https://i.ebayimg.com/images/g/1rsAAOSwK~BlEO0B/s-l1600.jpg | https://i.ebayimg.com/images/g/9zoAAOSwUaBlEO0A/s-l1600.jpg | https://i.ebayimg.com/images/g/BeUAAOSwytNlEOz8/s-l1600.jpg | https://i.ebayimg.com/images/g/El8AAOSwlP9lEOz9/s-l1600.jpg | https://i.ebayimg.com/images/g/91cAAOSw2rplEOz-/s-l1600.jpg,Purple,,2.0,Other Accessories
E0-07-07.,Metal Film Dust Proof Debris Protection Heavy Duty Airpods 1 Non-Wireless Charging Case (Black),Generic,https://i.ebayimg.com/images/g/tpIAAOSwqtRlpJqM/s-l1600.jpg | https://i.ebayimg.com/images/g/E2sAAOSwTBtlPxPT/s-l1600.jpg | https://i.ebayimg.com/images/g/M5kAAOSwwpZlPxPX/s-l1600.jpg | https://i.ebayimg.com/images/g/Sw8AAOSwAnRlPxPa/s-l1600.jpg | https://i.ebayimg.com/images/g/EBsAAOSwpIdlPxPe/s-l1600.jpg | https://i.ebayimg.com/images/g/mQcAAOSwqftlPxPi/s-l1600.jpg | https://i.ebayimg.com/images/g/krYAAOSwgtxlPxPm/s-l1600.jpg,Black,,2.0,Other Accessories
E0-07-08.,Metal Film Dust Proof Debris Protection Heavy Duty Airpods 1 Non-Wireless Charging Case (Blue),Generic,https://i.ebayimg.com/images/g/asgAAOSwL~RlpJqR/s-l1600.jpg | https://i.ebayimg.com/images/g/E2sAAOSwTBtlPxPT/s-l1600.jpg | https://i.ebayimg.com/images/g/M5kAAOSwwpZlPxPX/s-l1600.jpg | https://i.ebayimg.com/images/g/Sw8AAOSwAnRlPxPa/s-l1600.jpg | https://i.ebayimg.com/images/g/EBsAAOSwpIdlPxPe/s-l1600.jpg | https://i.ebayimg.com/images/g/mQcAAOSwqftlPxPi/s-l1600.jpg | https://i.ebayimg.com/images/g/krYAAOSwgtxlPxPm/s-l1600.jpg,Blue,,2.0,Other Accessories
E0-06-08.,Metal Film Dust Proof Debris Protection Heavy Duty Airpods 1 Non-Wireless Charging Case (Gold),Generic,https://i.ebayimg.com/images/g/iNIAAOSwqyRlpJqY/s-l1600.jpg | https://i.ebayimg.com/images/g/E2sAAOSwTBtlPxPT/s-l1600.jpg | https://i.ebayimg.com/images/g/M5kAAOSwwpZlPxPX/s-l1600.jpg | https://i.ebayimg.com/images/g/Sw8AAOSwAnRlPxPa/s-l1600.jpg | https://i.ebayimg.com/images/g/EBsAAOSwpIdlPxPe/s-l1600.jpg | https://i.ebayimg.com/images/g/mQcAAOSwqftlPxPi/s-l1600.jpg | https://i.ebayimg.com/images/g/krYAAOSwgtxlPxPm/s-l1600.jpg,Gold,,2.0,Other Accessories
E0-08-08.,Metal Film Dust Proof Debris Protection Heavy Duty Airpods 1 Non-Wireless Charging Case (Red),Generic,https://i.ebayimg.com/images/g/fdcAAOSw1d9lpJqd/s-l1600.jpg | https://i.ebayimg.com/images/g/E2sAAOSwTBtlPxPT/s-l1600.jpg | https://i.ebayimg.com/images/g/M5kAAOSwwpZlPxPX/s-l1600.jpg | https://i.ebayimg.com/images/g/Sw8AAOSwAnRlPxPa/s-l1600.jpg | https://i.ebayimg.com/images/g/EBsAAOSwpIdlPxPe/s-l1600.jpg | https://i.ebayimg.com/images/g/mQcAAOSwqftlPxPi/s-l1600.jpg | https://i.ebayimg.com/images/g/krYAAOSwgtxlPxPm/s-l1600.jpg,Red,,2.0,Other Accessories
E0-09-07.,Metal Film Dust Proof Debris Protection Heavy Duty Airpods 1 Non-Wireless Charging Case (Pink),Generic,https://i.ebayimg.com/images/g/6ZwAAOSwIqRlpJqi/s-l1600.jpg | https://i.ebayimg.com/images/g/E2sAAOSwTBtlPxPT/s-l1600.jpg | https://i.ebayimg.com/images/g/M5kAAOSwwpZlPxPX/s-l1600.jpg | https://i.ebayimg.com/images/g/Sw8AAOSwAnRlPxPa/s-l1600.jpg | https://i.ebayimg.com/images/g/EBsAAOSwpIdlPxPe/s-l1600.jpg | https://i.ebayimg.com/images/g/mQcAAOSwqftlPxPi/s-l1600.jpg | https://i.ebayimg.com/images/g/krYAAOSwgtxlPxPm/s-l1600.jpg,Pink,,2.0,Other Accessories
E0-09-08.,Metal Film Dust Proof Debris Protection Heavy Duty Airpods 1 Non-Wireless Charging Case (Green),Generic,https://i.ebayimg.com/images/g/PXwAAOSw20llpJqm/s-l1600.jpg | https://i.ebayimg.com/images/g/E2sAAOSwTBtlPxPT/s-l1600.jpg | https://i.ebayimg.com/images/g/M5kAAOSwwpZlPxPX/s-l1600.jpg | https://i.ebayimg.com/images/g/Sw8AAOSwAnRlPxPa/s-l1600.jpg | https://i.ebayimg.com/images/g/EBsAAOSwpIdlPxPe/s-l1600.jpg | https://i.ebayimg.com/images/g/mQcAAOSwqftlPxPi/s-l1600.jpg | https://i.ebayimg.com/images/g/krYAAOSwgtxlPxPm/s-l1600.jpg,Green,,2.0,Other Accessories
E0-10-07.,Metal Film Dust Proof Debris Protection Heavy Duty Airpods 1 Non-Wireless Charging Case (White),Generic,https://i.ebayimg.com/images/g/GjUAAOSw2YBlpJqs/s-l1600.jpg | https://i.ebayimg.com/images/g/E2sAAOSwTBtlPxPT/s-l1600.jpg | https://i.ebayimg.com/images/g/M5kAAOSwwpZlPxPX/s-l1600.jpg | https://i.ebayimg.com/images/g/Sw8AAOSwAnRlPxPa/s-l1600.jpg | https://i.ebayimg.com/images/g/EBsAAOSwpIdlPxPe/s-l1600.jpg | https://i.ebayimg.com/images/g/mQcAAOSwqftlPxPi/s-l1600.jpg | https://i.ebayimg.com/images/g/krYAAOSwgtxlPxPm/s-l1600.jpg,White,,2.0,Other Accessories
E0-10-08.,Metal Film Dust Proof Debris Protection Heavy Duty Airpods 1 Non-Wireless Charging Case (Purple),Generic,https://i.ebayimg.com/images/g/tpIAAOSwqtRlpJqM/s-l1600.jpg | https://i.ebayimg.com/images/g/E2sAAOSwTBtlPxPT/s-l1600.jpg | https://i.ebayimg.com/images/g/M5kAAOSwwpZlPxPX/s-l1600.jpg | https://i.ebayimg.com/images/g/Sw8AAOSwAnRlPxPa/s-l1600.jpg | https://i.ebayimg.com/images/g/EBsAAOSwpIdlPxPe/s-l1600.jpg | https://i.ebayimg.com/images/g/mQcAAOSwqftlPxPi/s-l1600.jpg | https://i.ebayimg.com/images/g/krYAAOSwgtxlPxPm/s-l1600.jpg,Purple,,2.0,Other Accessories
E0-07-07,Metal Film Dust Proof Debris Protection Heavy Duty Airpods 2 Wireless Charging Case (Black),Generic,https://i.ebayimg.com/images/g/tpIAAOSwqtRlpJqM/s-l1600.jpg | https://i.ebayimg.com/images/g/E2sAAOSwTBtlPxPT/s-l1600.jpg | https://i.ebayimg.com/images/g/M5kAAOSwwpZlPxPX/s-l1600.jpg | https://i.ebayimg.com/images/g/Sw8AAOSwAnRlPxPa/s-l1600.jpg | https://i.ebayimg.com/images/g/EBsAAOSwpIdlPxPe/s-l1600.jpg | https://i.ebayimg.com/images/g/mQcAAOSwqftlPxPi/s-l1600.jpg | https://i.ebayimg.com/images/g/krYAAOSwgtxlPxPm/s-l1600.jpg,Black,,2.0,Other Accessories
E0-07-08,Metal Film Dust Proof Debris Protection Heavy Duty Airpods 2 Wireless Charging Case (Blue),Generic,https://i.ebayimg.com/images/g/asgAAOSwL~RlpJqR/s-l1600.jpg | https://i.ebayimg.com/images/g/E2sAAOSwTBtlPxPT/s-l1600.jpg | https://i.ebayimg.com/images/g/M5kAAOSwwpZlPxPX/s-l1600.jpg | https://i.ebayimg.com/images/g/Sw8AAOSwAnRlPxPa/s-l1600.jpg | https://i.ebayimg.com/images/g/EBsAAOSwpIdlPxPe/s-l1600.jpg | https://i.ebayimg.com/images/g/mQcAAOSwqftlPxPi/s-l1600.jpg | https://i.ebayimg.com/images/g/krYAAOSwgtxlPxPm/s-l1600.jpg,Blue,,2.0,Other Accessories
E0-06-08,Metal Film Dust Proof Debris Protection Heavy Duty Airpods 2 Wireless Charging Case (Gold),Generic,https://i.ebayimg.com/images/g/iNIAAOSwqyRlpJqY/s-l1600.jpg | https://i.ebayimg.com/images/g/E2sAAOSwTBtlPxPT/s-l1600.jpg | https://i.ebayimg.com/images/g/M5kAAOSwwpZlPxPX/s-l1600.jpg | https://i.ebayimg.com/images/g/Sw8AAOSwAnRlPxPa/s-l1600.jpg | https://i.ebayimg.com/images/g/EBsAAOSwpIdlPxPe/s-l1600.jpg | https://i.ebayimg.com/images/g/mQcAAOSwqftlPxPi/s-l1600.jpg | https://i.ebayimg.com/images/g/krYAAOSwgtxlPxPm/s-l1600.jpg,Gold,,2.0,Other Accessories
E0-08-08,Metal Film Dust Proof Debris Protection Heavy Duty Airpods 2 Wireless Charging Case (Red),Generic,https://i.ebayimg.com/images/g/fdcAAOSw1d9lpJqd/s-l1600.jpg | https://i.ebayimg.com/images/g/E2sAAOSwTBtlPxPT/s-l1600.jpg | https://i.ebayimg.com/images/g/M5kAAOSwwpZlPxPX/s-l1600.jpg | https://i.ebayimg.com/images/g/Sw8AAOSwAnRlPxPa/s-l1600.jpg | https://i.ebayimg.com/images/g/EBsAAOSwpIdlPxPe/s-l1600.jpg | https://i.ebayimg.com/images/g/mQcAAOSwqftlPxPi/s-l1600.jpg | https://i.ebayimg.com/images/g/krYAAOSwgtxlPxPm/s-l1600.jpg,Red,,2.0,Other Accessories
E0-09-07,Metal Film Dust Proof Debris Protection Heavy Duty Airpods 2 Wireless Charging Case (Pink),Generic,https://i.ebayimg.com/images/g/6ZwAAOSwIqRlpJqi/s-l1600.jpg | https://i.ebayimg.com/images/g/E2sAAOSwTBtlPxPT/s-l1600.jpg | https://i.ebayimg.com/images/g/M5kAAOSwwpZlPxPX/s-l1600.jpg | https://i.ebayimg.com/images/g/Sw8AAOSwAnRlPxPa/s-l1600.jpg | https://i.ebayimg.com/images/g/EBsAAOSwpIdlPxPe/s-l1600.jpg | https://i.ebayimg.com/images/g/mQcAAOSwqftlPxPi/s-l1600.jpg | https://i.ebayimg.com/images/g/krYAAOSwgtxlPxPm/s-l1600.jpg,Pink,,2.0,Other Accessories
E0-09-08,Metal Film Dust Proof Debris Protection Heavy Duty Airpods 2 Wireless Charging Case (Green),Generic,https://i.ebayimg.com/images/g/PXwAAOSw20llpJqm/s-l1600.jpg | https://i.ebayimg.com/images/g/E2sAAOSwTBtlPxPT/s-l1600.jpg | https://i.ebayimg.com/images/g/M5kAAOSwwpZlPxPX/s-l1600.jpg | https://i.ebayimg.com/images/g/Sw8AAOSwAnRlPxPa/s-l1600.jpg | https://i.ebayimg.com/images/g/EBsAAOSwpIdlPxPe/s-l1600.jpg | https://i.ebayimg.com/images/g/mQcAAOSwqftlPxPi/s-l1600.jpg | https://i.ebayimg.com/images/g/krYAAOSwgtxlPxPm/s-l1600.jpg,Green,,2.0,Other Accessories
E0-10-07,Metal Film Dust Proof Debris Protection Heavy Duty Airpods 2 Wireless Charging Case (White),Generic,https://i.ebayimg.com/images/g/GjUAAOSw2YBlpJqs/s-l1600.jpg | https://i.ebayimg.com/images/g/E2sAAOSwTBtlPxPT/s-l1600.jpg | https://i.ebayimg.com/images/g/M5kAAOSwwpZlPxPX/s-l1600.jpg | https://i.ebayimg.com/images/g/Sw8AAOSwAnRlPxPa/s-l1600.jpg | https://i.ebayimg.com/images/g/EBsAAOSwpIdlPxPe/s-l1600.jpg | https://i.ebayimg.com/images/g/mQcAAOSwqftlPxPi/s-l1600.jpg | https://i.ebayimg.com/images/g/krYAAOSwgtxlPxPm/s-l1600.jpg,White,,2.0,Other Accessories
E0-10-08,Metal Film Dust Proof Debris Protection Heavy Duty Airpods 2 Wireless Charging Case (Purple),Generic,https://i.ebayimg.com/images/g/tpIAAOSwqtRlpJqM/s-l1600.jpg | https://i.ebayimg.com/images/g/E2sAAOSwTBtlPxPT/s-l1600.jpg | https://i.ebayimg.com/images/g/M5kAAOSwwpZlPxPX/s-l1600.jpg | https://i.ebayimg.com/images/g/Sw8AAOSwAnRlPxPa/s-l1600.jpg | https://i.ebayimg.com/images/g/EBsAAOSwpIdlPxPe/s-l1600.jpg | https://i.ebayimg.com/images/g/mQcAAOSwqftlPxPi/s-l1600.jpg | https://i.ebayimg.com/images/g/krYAAOSwgtxlPxPm/s-l1600.jpg,Purple,,2.0,Other Accessories
E0-10-10,Metal Film Dust Proof Debris Protection Heavy Duty Airpods 3 Wireless Charging Case (Black),Generic,https://i.ebayimg.com/images/g/tpIAAOSwqtRlpJqM/s-l1600.jpg | https://i.ebayimg.com/images/g/E2sAAOSwTBtlPxPT/s-l1600.jpg | https://i.ebayimg.com/images/g/M5kAAOSwwpZlPxPX/s-l1600.jpg | https://i.ebayimg.com/images/g/Sw8AAOSwAnRlPxPa/s-l1600.jpg | https://i.ebayimg.com/images/g/EBsAAOSwpIdlPxPe/s-l1600.jpg | https://i.ebayimg.com/images/g/mQcAAOSwqftlPxPi/s-l1600.jpg | https://i.ebayimg.com/images/g/krYAAOSwgtxlPxPm/s-l1600.jpg,Black,,2.0,Other Accessories
E0-10-11,Metal Film Dust Proof Debris Protection Heavy Duty Airpods 3 Wireless Charging Case (Blue),Generic,https://i.ebayimg.com/images/g/asgAAOSwL~RlpJqR/s-l1600.jpg | https://i.ebayimg.com/images/g/E2sAAOSwTBtlPxPT/s-l1600.jpg | https://i.ebayimg.com/images/g/M5kAAOSwwpZlPxPX/s-l1600.jpg | https://i.ebayimg.com/images/g/Sw8AAOSwAnRlPxPa/s-l1600.jpg | https://i.ebayimg.com/images/g/EBsAAOSwpIdlPxPe/s-l1600.jpg | https://i.ebayimg.com/images/g/mQcAAOSwqftlPxPi/s-l1600.jpg | https://i.ebayimg.com/images/g/krYAAOSwgtxlPxPm/s-l1600.jpg,Blue,,2.0,Other Accessories
E0-09-11,Metal Film Dust Proof Debris Protection Heavy Duty Airpods 3 Wireless Charging Case (Gold),Generic,https://i.ebayimg.com/images/g/iNIAAOSwqyRlpJqY/s-l1600.jpg | https://i.ebayimg.com/images/g/E2sAAOSwTBtlPxPT/s-l1600.jpg | https://i.ebayimg.com/images/g/M5kAAOSwwpZlPxPX/s-l1600.jpg | https://i.ebayimg.com/images/g/Sw8AAOSwAnRlPxPa/s-l1600.jpg | https://i.ebayimg.com/images/g/EBsAAOSwpIdlPxPe/s-l1600.jpg | https://i.ebayimg.com/images/g/mQcAAOSwqftlPxPi/s-l1600.jpg | https://i.ebayimg.com/images/g/krYAAOSwgtxlPxPm/s-l1600.jpg,Gold,,2.0,Other Accessories
E0-11-11,Metal Film Dust Proof Debris Protection Heavy Duty Airpods 3 Wireless Charging Case (Red),Generic,https://i.ebayimg.com/images/g/fdcAAOSw1d9lpJqd/s-l1600.jpg | https://i.ebayimg.com/images/g/E2sAAOSwTBtlPxPT/s-l1600.jpg | https://i.ebayimg.com/images/g/M5kAAOSwwpZlPxPX/s-l1600.jpg | https://i.ebayimg.com/images/g/Sw8AAOSwAnRlPxPa/s-l1600.jpg | https://i.ebayimg.com/images/g/EBsAAOSwpIdlPxPe/s-l1600.jpg | https://i.ebayimg.com/images/g/mQcAAOSwqftlPxPi/s-l1600.jpg | https://i.ebayimg.com/images/g/krYAAOSwgtxlPxPm/s-l1600.jpg,Red,,2.0,Other Accessories
